cost,LogRooms,LogIncome,LogPeople,elheat,onlysecondary,waterheat,cookel,poolfilt,airrev,aircond,microwave,dish,dryer
545.0,1.9459101490553132,10.305613759378778,1.3862943611198906,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
389.0,1.9459101490553132,9.367344120785848,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
390.0,2.0794415416798357,9.735068900911164,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
268.0,1.9459101490553132,9.185022563991893,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
543.0,1.791759469228055,10.114558522616068,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
278.0,1.791759469228055,9.041921720351219,1.0986122886681096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
190.0,1.791759469228055,10.114558522616068,1.3862943611198906,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
205.0,2.1972245773362196,9.041921720351219,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
127.0,1.791759469228055,9.735068900911164,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
349.0,1.791759469228055,9.735068900911164,1.3862943611198906,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
371.0,1.791759469228055,9.041921720351219,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
338.0,1.6094379124341003,10.696480068065789,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
297.0,1.9459101490553132,10.003332887505843,1.3862943611198906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
391.0,2.0794415416798357,9.878169744551839,1.6094379124341003,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
70.0,1.791759469228055,9.041921720351219,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
