Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2022-12-30;62.25;60.88;60.90;61.18;6550636;400769684;
2022-12-29;62.48;60.66;62.42;61.73;4903786;302675129;
2022-12-28;62.27;61.31;61.36;61.52;3815064;234714181;
2022-12-27;62.80;61.82;61.91;62.24;2746857;170973610;
2022-12-23;62.06;61.21;61.69;61.72;3338749;206071267;
2022-12-22;61.57;60.89;60.91;61.10;4476176;273610108;
2022-12-21;61.44;60.83;61.23;61.18;6303538;385647728;
2022-12-20;61.26;60.19;60.66;60.78;8042458;488843312;
2022-12-19;61.92;59.98;61.26;61.15;9850909;603829547;
2022-12-16;63.52;59.62;59.76;60.44;19774287;1195163295;
2022-12-15;67.95;64.04;64.20;65.23;12746277;831428065;
2022-12-14;67.82;65.97;66.92;66.81;11535093;770570149;
2022-12-13;69.76;67.84;67.89;68.40;9229974;631352249;
2022-12-12;68.11;66.96;68.03;67.78;7499932;508295304;
2022-12-09;70.67;65.68;67.69;68.41;13593059;929864837;
2022-12-08;66.98;65.73;66.81;66.48;5116763;340182132;
2022-12-07;66.71;65.62;65.71;65.85;5658652;372637356;
2022-12-06;68.11;66.50;66.50;66.93;7393941;494955148;
2022-12-05;68.55;67.53;67.56;67.84;5379435;364924233;
2022-12-02;68.55;67.00;68.31;68.12;6864166;467570996;
2022-12-01;67.55;66.35;67.19;67.11;7185235;482154614;
2022-11-30;65.12;64.13;65.12;65.02;17079452;1110554778;
2022-11-29;65.48;64.26;64.48;64.75;4536336;293743897;
2022-11-28;65.67;64.75;65.00;65.06;4023772;261804780;
2022-11-25;65.65;64.72;65.59;65.35;3410777;222881816;
2022-11-24;65.39;64.55;65.09;65.03;3696011;240341358;
2022-11-23;64.97;64.11;64.69;64.59;4621388;298479414;
2022-11-22;65.16;63.90;64.37;64.51;6780035;437408917;
2022-11-21;64.78;63.92;64.50;64.42;5135978;330857644;
2022-11-18;64.98;63.57;64.92;64.64;5048618;326360428;
2022-11-17;64.55;63.09;64.12;63.96;7077709;452699841;
2022-11-16;65.24;63.41;63.67;63.90;4803798;307004129;
2022-11-15;65.05;63.91;64.78;64.68;8377480;542000818;
2022-11-14;65.33;63.04;64.25;64.03;8401872;537946961;
2022-11-11;63.66;61.54;63.38;62.67;9244965;579321978;
2022-11-10;61.83;59.56;61.83;61.02;13308746;812124603;
2022-11-09;60.59;59.84;60.26;60.16;7440210;447573950;
2022-11-08;60.89;60.10;60.72;60.63;8385879;508437554;
2022-11-07;60.60;59.66;60.46;60.24;7052813;424848632;
2022-11-04;60.35;59.84;60.12;60.11;3851797;231550073;
2022-11-03;60.49;59.51;59.77;59.88;9515735;569803078;
2022-11-02;61.55;60.75;60.82;60.96;8246188;502674032;
2022-11-01;61.79;61.03;61.20;61.42;7290808;447770966;
2022-10-31;62.08;61.02;61.40;61.47;6726795;413471349;
2022-10-28;61.59;59.83;61.44;60.95;8480597;516905065;
2022-10-27;61.70;60.39;60.59;60.83;9989590;608934016;
2022-10-26;61.37;59.70;61.37;60.77;11703454;711166773;
2022-10-25;61.71;60.45;60.59;60.88;11536754;702406665;
2022-10-24;61.66;58.81;61.16;60.32;18637062;1126415763;
2022-10-21;61.43;59.27;61.17;60.47;18406322;1113187419;
2022-10-20;66.31;59.47;61.54;61.45;49742069;3057333144;
2022-10-19;73.56;72.06;72.19;72.43;7761753;562211148;
2022-10-18;73.21;72.05;72.72;72.68;6507357;472976595;
2022-10-17;72.75;71.15;71.64;71.91;6270801;450949450;
2022-10-14;71.69;70.66;71.10;71.12;5398074;383887959;
2022-10-13;70.96;68.34;70.50;69.82;6847978;478270261;
2022-10-12;69.64;68.75;69.37;69.26;5012623;347157098;
2022-10-11;69.37;68.01;69.02;68.86;5031377;346458291;
2022-10-10;69.97;68.19;68.76;69.13;4252509;294008285;
2022-10-07;69.97;68.70;68.81;69.12;4117237;284575977;
2022-10-06;69.76;68.90;69.46;69.35;5699708;395281789;
2022-10-05;68.84;67.92;68.61;68.48;5656455;387370051;
2022-10-04;69.25;67.00;69.18;68.84;10707755;737499122;
2022-10-03;67.12;64.37;66.95;66.38;8083186;536599152;
2022-09-30;65.62;64.47;65.49;65.25;7891599;514780394;
2022-09-29;65.59;64.12;64.96;64.94;6417565;416752427;
2022-09-28;67.59;65.20;67.26;66.59;6529874;434835189;
2022-09-27;68.46;66.90;67.65;67.70;4834794;327320070;
2022-09-26;68.02;66.60;66.84;67.15;5238686;351778973;
2022-09-23;68.54;65.34;67.44;66.92;10141287;678501047;
2022-09-22;70.97;69.28;69.57;69.77;7835098;546704117;
2022-09-21;71.61;70.98;71.45;71.34;3689865;263219255;
2022-09-20;72.94;71.33;71.44;71.66;4945102;354355025;
2022-09-19;72.85;71.44;72.21;72.14;4098271;295793062;
2022-09-16;73.88;71.95;72.75;72.87;10695328;779403227;
2022-09-15;74.13;71.85;72.98;72.94;13935085;1016453681;
2022-09-14;78.37;75.19;75.19;75.91;7643069;580241997;
2022-09-13;80.46;78.50;78.63;79.10;5833542;461413688;
